Name of Covered Entity,Count
Providence Mission Heritage Endocrinology,1
"Kairos Health Arizona, Inc.",1
Memorial Sloan Kettering Cancer Center,1
The Mount Kisco Surgery Center LLC d/b/a The Ambulatory Surgery Center of Westchester,1
"MD Now Medical Centers, Inc. ",1
Geisinger,1
Pinnacle Orthopaedics & Sports Medicine Specialists LLC,1
Altoona Logan Township Mobile Medical Emergency Department Authority,1
Palomar Health Medical Group,1
School Employees' Benefit Trust,1
"Butler Health Plan, SW Division of OHI",1
"The Medibase Group, Inc.  ",1
NeighborHealth,1
Surgery Center of Mid Florida,1
"AMERICAN CLINICAL SOLUTIONS, LLC",1
Sutton Dental Arts,1
Allcare Medical Management Incorporated,1
"EMS Department for the Kansas City, Kansas Fire Department   ",1
Barrett Eye Care,1
Arisa Health Incorporated,1
"Sun City Pediatrics, PA",1
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network",1
"Franklin County, Kansas",1
"Change Healthcare, Inc.",1
"Kaiser Foundation Hospitals, Northern California and The Permanente Medical Group, Inc. ",1
The North Cottage Program,1
Hospital Auxilio Mutuo ,1
Fairfax Radiological Consultants ,1
"Aveanna Healthcare, LLC",1
New Jersey Oral & Maxillofacial Surgery ,1
"Family Dynamics Counseling Services, Inc. ",1
"Meridian Internal Medicine, P.A.",1
"Smith, Gambrell & Russell LLP",1
Texas Retina Associates,1
Wisconsin Department of Health Services ,1
"Brockton Area Multi Services, Inc.",1
A&A Services d/b/a Sav-Rx,1
Woodfords Family Services ,1
Mending Minds LLC dba Walnut Creek Psychiatry,1
"Crestwyn Behavioral Health Hospital, Inc.",1
Easterseals Central Illinois,1
"FC Compassus, LLC ",1
"Lakeview Health Systems, LLC",1
Orchard Park Fire District EMS,1
"Florida Digestive Health Specialists, LLP",1
"iCircle Services of the Finger Lakes, Inc.",1
Montefiore Einstein Advance Care,1
Moffitt Cancer Center and Research Institute,1
"Mobile Medical Response, Inc.",1
City of St. Cloud,1
"ALN Medical Management, LLC",1
Summit Healthcare Regional Medical Center,1
Tri-City Healthcare District,1
"Trionfo Solutions, LLC",1
County of Los Angeles Department of Mental Health ,1
Multnomah County Health Department,1
Omni Healthcare Financial Holdings,1
"Call 4 Health, Inc.",1
Victoria Eye Center/Victoria Surgery Center/Victoria Vision Center,1
"Wilson & Company, Inc., Engineers & Architects Health and Welfare Benefit Plan",1
"Financial Business and Consumer Solutions, Inc.",1
"Angels Neurological Centers, P.C.",1
Panorama Eyecare,1
County of Los Angeles Department of Health Services,1
"Ambulnz Holdings, LLC",1
Access Sports Medicine & Orthopaedics,1
Carroll County Memorial Hospital,1
Radiology and Imaging Specialists,1
OB GYN Specialists of Lima Inc,1
"Neurobehavioral Medicine Consultants, P.C.",1
Walmart Inc.,1
Consulting Radiologists LTD.,1
Heart South Cardiovascular Group,1
"Aptihealth, Inc.",1
Benefit Management LLC,1
IBEW LOCAL 236 WELFARE FUND,1
WAREHOUSE EMPLOYEES LOCAL 169 CONTRIBUTING EMPLOYERS HEALTH & WELFARE FUND,1
ASBESTOS WORKERS LOCAL 42 WELFARE PLAN,1
"Signature Performance, Inc.",1
Looking Glass Counseling,1
"CRG Lynwood, LLC, d/b/a Lynwood Manor ",1
Community Alliance Rehabilitation Services,1
"Best Health Physical Therapy, LLC        ",1
IACT Health,1
Insulet Corporation,1
