Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description,Year
"Change Healthcare, Inc.",MN,Business Associate,100000000,2024-07-19,Hacking/IT Incident,Network Server,Yes,,2024
"Kaiser Foundation Hospitals, Northern California and The Permanente Medical Group, Inc. ",CA,Healthcare Provider,3435,2024-07-15,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2024
The North Cottage Program,MA,Healthcare Provider,8190,2024-07-15,Hacking/IT Incident,Network Server,No,,2024
Hospital Auxilio Mutuo ,,Healthcare Provider,500,2024-07-13,Hacking/IT Incident,Network Server,No,,2024
Fairfax Radiological Consultants ,VA,Healthcare Provider,3512,2024-07-12,Hacking/IT Incident,Network Server,No,,2024
"Aveanna Healthcare, LLC",GA,Healthcare Provider,10482,2024-07-12,Unauthorized Access/Disclosure,Email,No,,2024
New Jersey Oral & Maxillofacial Surgery ,NJ,Healthcare Provider,74413,2024-07-12,Hacking/IT Incident,Network Server,No,,2024
"Family Dynamics Counseling Services, Inc. ",WA,Healthcare Provider,4373,2024-07-11,Hacking/IT Incident,Network Server,No,,2024
"Meridian Internal Medicine, P.A.",NC,Healthcare Provider,2656,2024-07-10,Hacking/IT Incident,Network Server,No,,2024
"Smith, Gambrell & Russell LLP",GA,Business Associate,3370,2024-07-09,Hacking/IT Incident,Network Server,Yes,,2024
"The Medibase Group, Inc.  ",GA,Business Associate,35106,2024-07-05,Hacking/IT Incident,Network Server,Yes,,2024
"Butler Health Plan, SW Division of OHI",OH,Health Plan,5911,2024-07-05,Hacking/IT Incident,Network Server,Yes,,2024
School Employees' Benefit Trust,IN,Health Plan,1371,2024-07-05,Hacking/IT Incident,Network Server,Yes,,2024
Palomar Health Medical Group,CA,Healthcare Provider,501,2024-07-03,Hacking/IT Incident,Network Server,No,,2024
Sheet Metal Workers Local Union #83 Insurance Fund and Annuity Fund,NY,Health Plan,2186,2024-07-03,Hacking/IT Incident,Email,No,,2024
Ascension Health,MO,Healthcare Provider,500,2024-07-03,Hacking/IT Incident,Network Server,No,,2024
Patented Acquisition Corporation,OH,Business Associate,12787,2024-07-03,Hacking/IT Incident,Network Server,Yes,,2024
Aultman Hospital,OH,Healthcare Provider,6890,2024-07-03,Hacking/IT Incident,Email,No,,2024
DaVita Inc.,CO,Healthcare Provider,67443,2024-07-03,Unauthorized Access/Disclosure,Network Server,No,,2024
"Maryville, Inc.",NJ,Healthcare Provider,501,2024-07-03,Hacking/IT Incident,Email,No,,2024
"Atlanta Perinatal Consultants, LLP",GA,Healthcare Provider,1508,2024-07-02,Hacking/IT Incident,Network Server,Yes,,2024
"Marana Health Center, Inc.",AZ,Health Plan,566,2024-07-02,Unauthorized Access/Disclosure,Email,No,,2024
Core Dental Health,TN,Healthcare Provider,2349,2024-07-01,Hacking/IT Incident,"Email, Network Server",No,,2024
AmeriHealth Caritas Delaware,DE,Health Plan,2823,2024-07-01,Hacking/IT Incident,Network Server,Yes,,2024
"Human Technology Inc., and its affiliates ",TN,Healthcare Provider,24580,2024-07-01,Hacking/IT Incident,Network Server,No,,2024
"Georgia Kidney Associates, Inc.",GA,Healthcare Provider,9940,2024-06-28,Theft,Other,No,,2024
Midwest Covenant Home,NE,Healthcare Provider,500,2024-06-28,Hacking/IT Incident,Network Server,No,,2024
Ann & Robert H. Lurie Children's Hospital of Chicago,IL,Healthcare Provider,775860,2024-06-27,Hacking/IT Incident,Network Server,No,,2024
Mayfield Dental Arts LLC,OH,Healthcare Provider,3318,2024-06-26,Theft,Laptop,No,,2024
Providence Mission Heritage Endocrinology,CA,Healthcare Provider,2000,2024-06-26,Unauthorized Access/Disclosure,Desktop Computer,No,,2024
"Kairos Health Arizona, Inc.",AZ,Business Associate,14364,2024-06-26,Unauthorized Access/Disclosure,Network Server,Yes,,2024
Memorial Sloan Kettering Cancer Center,NY,Healthcare Provider,12274,2024-06-25,Hacking/IT Incident,Network Server,No,,2024
The Mount Kisco Surgery Center LLC d/b/a The Ambulatory Surgery Center of Westchester,NY,Healthcare Provider,22139,2024-06-25,Hacking/IT Incident,Email,No,,2024
"MD Now Medical Centers, Inc. ",FL,Healthcare Provider,500,2024-06-25,Hacking/IT Incident,Network Server,No,,2024
Geisinger,PA,Healthcare Provider,1276026,2024-06-21,Unauthorized Access/Disclosure,Network Server,Yes,,2024
Pinnacle Orthopaedics & Sports Medicine Specialists LLC,GA,Healthcare Provider,1100,2024-06-21,Hacking/IT Incident,Network Server,No,,2024
Altoona Logan Township Mobile Medical Emergency Department Authority,PA,Healthcare Provider,6169,2024-06-21,Hacking/IT Incident,Network Server,No,,2024
Texas Retina Associates,TX,Healthcare Provider,312867,2024-06-21,Hacking/IT Incident,Network Server,No,,2024
"The Lash Group, LLC",PA,Business Associate,15196,2024-06-21,Hacking/IT Incident,Network Server,Yes,,2024
Aultman Hospital,OH,Healthcare Provider,500,2024-06-21,Hacking/IT Incident,Email,No,,2024
Wisconsin Department of Health Services ,WI,Healthcare Provider,19150,2024-06-21,Hacking/IT Incident,Network Server,Yes,,2024
"Mobile Medical Response, Inc.",MI,Healthcare Provider,700,2024-06-21,Theft,Paper/Films,Yes,,2024
County of Los Angeles Department of Health Services,CA,Healthcare Provider,41444,2024-06-21,Hacking/IT Incident,Email,No,,2024
"Ambulnz Holdings, LLC",NY,Healthcare Provider,4742,2024-06-21,Hacking/IT Incident,Network Server,No,,2024
Access Sports Medicine & Orthopaedics,NH,Healthcare Provider,88044,2024-06-20,Hacking/IT Incident,Network Server,No,,2024
Carroll County Memorial Hospital,MO,Healthcare Provider,7021,2024-06-18,Hacking/IT Incident,Email,No,,2024
Radiology and Imaging Specialists,FL,Healthcare Provider,37210,2024-06-17,Hacking/IT Incident,Email,No,,2024
OB GYN Specialists of Lima Inc,OH,Healthcare Provider,1241,2024-06-17,Improper Disposal,Paper/Films,No,,2024
"Neurobehavioral Medicine Consultants, P.C.",OH,Healthcare Provider,18182,2024-06-14,Hacking/IT Incident,Network Server,No,,2024
Walmart Inc.,AR,Healthcare Provider,1267,2024-06-14,Unauthorized Access/Disclosure,Network Server,No,,2024
Consulting Radiologists LTD.,MN,Healthcare Provider,583824,2024-06-14,Hacking/IT Incident,Network Server,No,,2024
Heart South Cardiovascular Group,AL,Healthcare Provider,501,2024-06-13,Hacking/IT Incident,Network Server,No,,2024
"Aptihealth, Inc.",NY,Healthcare Provider,19805,2024-06-12,Hacking/IT Incident,Network Server,Yes,,2024
Benefit Management LLC,KS,Business Associate,6272,2024-06-12,Hacking/IT Incident,"Email, Network Server",Yes,,2024
IBEW LOCAL 236 WELFARE FUND,CT,Health Plan,3217,2024-06-11,Hacking/IT Incident,Network Server,Yes,,2024
WAREHOUSE EMPLOYEES LOCAL 169 CONTRIBUTING EMPLOYERS HEALTH & WELFARE FUND,PA,Health Plan,1061,2024-06-11,Hacking/IT Incident,Network Server,Yes,,2024
ASBESTOS WORKERS LOCAL 42 WELFARE PLAN,GA,Health Plan,520,2024-06-11,Hacking/IT Incident,Network Server,Yes,,2024
"Signature Performance, Inc.",NE,Business Associate,106540,2024-06-10,Hacking/IT Incident,Network Server,Yes,,2024
Looking Glass Counseling,MA,Healthcare Provider,2739,2024-06-10,Unauthorized Access/Disclosure,Network Server,No,,2024
"CRG Lynwood, LLC, d/b/a Lynwood Manor ",MI,Healthcare Provider,6566,2024-06-10,Hacking/IT Incident,Network Server,No,,2024
Community Alliance Rehabilitation Services,NE,Healthcare Provider,10750,2024-06-07,Hacking/IT Incident,Network Server,No,,2024
"Best Health Physical Therapy, LLC        ",CT,Healthcare Provider,3764,2024-06-06,Hacking/IT Incident,"Network Server, Other",No,,2024
IACT Health,GA,Healthcare Provider,676,2024-06-06,Hacking/IT Incident,Network Server,Yes,,2024
Insurance ACE/Humana Inc.,KY,Health Plan,15003,2024-06-05,Unauthorized Access/Disclosure,Paper/Films,No,,2024
Panorama Eyecare,CO,Healthcare Provider,377911,2024-06-05,Hacking/IT Incident,Network Server,No,,2024
"Angels Neurological Centers, P.C.",MA,Healthcare Provider,934,2024-06-05,Hacking/IT Incident,Electronic Medical Record,No,,2024
"Financial Business and Consumer Solutions, Inc.",PA,Business Associate,117567,2024-06-04,Hacking/IT Incident,Network Server,Yes,,2024
"Wilson & Company, Inc., Engineers & Architects Health and Welfare Benefit Plan",NM,Health Plan,1867,2024-06-04,Hacking/IT Incident,Network Server,No,,2024
Woodfords Family Services ,ME,Healthcare Provider,500,2024-06-03,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No,,2024
Mending Minds LLC dba Walnut Creek Psychiatry,IA,Healthcare Provider,733,2024-06-01,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2024
Delta Specialty Hospital,TN,Healthcare Provider,500,2024-05-31,Hacking/IT Incident,Email,No,,2024
"Crestwyn Behavioral Health Hospital, Inc.",TN,Healthcare Provider,500,2024-05-31,Hacking/IT Incident,Email,No,,2024
Easterseals Central Illinois,IL,Healthcare Provider,500,2024-05-31,Hacking/IT Incident,Network Server,No,,2024
"AmerisourceBergen Specialty Group, LLC",PA,Healthcare Provider,3102,2024-05-31,Hacking/IT Incident,Network Server,No,,2024
"FC Compassus, LLC ",TN,Healthcare Provider,1383,2024-05-31,Hacking/IT Incident,Email,No,,2024
"Lakeview Health Systems, LLC",FL,Healthcare Provider,10772,2024-05-29,Hacking/IT Incident,Network Server,No,,2024
Orchard Park Fire District EMS,NY,Healthcare Provider,2089,2024-05-29,Hacking/IT Incident,Email,No,,2024
"Florida Digestive Health Specialists, LLP",FL,Healthcare Provider,3205,2024-05-27,Hacking/IT Incident,Network Server,No,,2024
"iCircle Services of the Finger Lakes, Inc.",NY,Health Plan,3414,2024-05-24,Hacking/IT Incident,Email,No,,2024
Montefiore Einstein Advance Care,NY,Healthcare Provider,2356,2024-05-24,Hacking/IT Incident,Network Server,No,,2024
"AmerisourceBergen Specialty Group, LLC",PA,Healthcare Provider,252214,2024-05-24,Hacking/IT Incident,Network Server,No,,2024
A&A Services d/b/a Sav-Rx,NE,Business Associate,2812336,2024-05-24,Hacking/IT Incident,Network Server,Yes,,2024
Moffitt Cancer Center and Research Institute,FL,Healthcare Provider,756,2024-05-24,Unauthorized Access/Disclosure,Other,No,,2024
City of St. Cloud,FL,Health Plan,501,2024-05-24,Hacking/IT Incident,Network Server,No,,2024
"ALN Medical Management, LLC",NE,Business Associate,501,2024-05-23,Hacking/IT Incident,Network Server,Yes,,2024
Summit Healthcare Regional Medical Center,AZ,Healthcare Provider,905,2024-05-23,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2024
Tri-City Healthcare District,CA,Healthcare Provider,108149,2024-05-23,Hacking/IT Incident,Network Server,No,,2024
"Trionfo Solutions, LLC",IL,Business Associate,81588,2024-05-22,Hacking/IT Incident,Network Server,Yes,,2024
County of Los Angeles Department of Mental Health ,CA,Healthcare Provider,1598,2024-05-20,Hacking/IT Incident,Network Server,No,,2024
Multnomah County Health Department,OR,Healthcare Provider,1092,2024-05-20,Unauthorized Access/Disclosure,Laptop,No,,2024
Omni Healthcare Financial Holdings,NC,Business Associate,16852,2024-05-18,Hacking/IT Incident,Other,Yes,,2024
El Centro Del Barrio d/b/a CentroMed,TX,Healthcare Provider,400000,2024-05-17,Hacking/IT Incident,Network Server,No,,2024
"Call 4 Health, Inc.",FL,Business Associate,10434,2024-05-17,Hacking/IT Incident,Network Server,Yes,,2024
Victoria Eye Center/Victoria Surgery Center/Victoria Vision Center,TX,Healthcare Provider,80000,2024-05-17,Hacking/IT Incident,Network Server,No,,2024
"Brockton Area Multi Services, Inc.",MA,Healthcare Provider,21537,2024-05-16,Hacking/IT Incident,Network Server,No,,2024
"Pope & Conner Consulting, Inc.",WI,Business Associate,1035,2024-05-15,Hacking/IT Incident,Email,Yes,,2024
Tobii Dynavox,PA,Healthcare Provider,1098,2024-05-14,Hacking/IT Incident,Email,No,,2024
"Hypertension-Nephrology Associates, P.C. ",PA,Healthcare Provider,39491,2024-05-14,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,,2024
Badalamenti-Ferlito Orthodontics,MI,Healthcare Provider,1427,2024-05-14,Unauthorized Access/Disclosure,Desktop Computer,No,,2024
"Superior Air-Ground Ambulance Service, Inc. ",IL,Healthcare Provider,858238,2024-05-10,Hacking/IT Incident,Network Server,No,,2024
Children's Health Care,MN,Healthcare Provider,24183,2024-05-10,Hacking/IT Incident,Email,No,,2024
Precision Medical Products Inc.,CA,Healthcare Clearing House,1094,2024-05-09,Hacking/IT Incident,Email,No,,2024
Texas Panhandle Centers,TX,Healthcare Provider,16394,2024-05-09,Hacking/IT Incident,Network Server,No,,2024
"WebTPA Employer Services, LLC (“WebTPA”)",TX,Business Associate,2518533,2024-05-08,Hacking/IT Incident,Network Server,Yes,,2024
1st Choice Home Care,AR,Healthcare Provider,2700,2024-05-08,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2024
Winter Haven Hospital,FL,Healthcare Provider,2101,2024-05-08,Unauthorized Access/Disclosure,Email,No,,2024
Delta Specialty Hospital,TN,Healthcare Provider,1019,2024-05-08,Unauthorized Access/Disclosure,Email,No,,2024
Watson Clinic,FL,Healthcare Provider,280187,2024-05-08,Hacking/IT Incident,Network Server,No,,2024
Allina Health System,MN,Healthcare Provider,715,2024-05-06,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2024
Kenneth Young Center,IL,Healthcare Provider,501,2024-05-06,Hacking/IT Incident,Network Server,No,,2024
Panoramic Health,AZ,Business Associate,5445,2024-05-03,Hacking/IT Incident,Email,Yes,,2024
Aetna ACE,CT,Health Plan,9191,2024-05-03,Hacking/IT Incident,Network Server,Yes,,2024
"MedStar Health, Inc.",MD,Healthcare Provider,183079,2024-05-03,Hacking/IT Incident,Email,No,,2024
Grayson & Associates,AL,Healthcare Provider,573,2024-05-03,Hacking/IT Incident,Desktop Computer,No,,2024
Marpai Health,NY,Healthcare Provider,1129,2024-05-02,Hacking/IT Incident,Email,No,,2024
"United Seating and Mobility, L.L.C., d/b/a Numotion",TN,Healthcare Provider,602265,2024-05-01,Hacking/IT Incident,Network Server,No,,2024
UnitedHealthcare Insurance Company,CT,Business Associate,16665,2024-05-01,Unauthorized Access/Disclosure,Paper/Films,Yes,,2024
Merchants Benefit Administration,AZ,Health Plan,767,2024-04-30,Hacking/IT Incident,Email,No,,2024
"Allergy Medical Group of the North Area, Inc.",CA,Healthcare Provider,6934,2024-04-29,Hacking/IT Incident,Network Server,No,,2024
AMERICAN RENAL MANAGEMENT,TN,Business Associate,501,2024-04-29,Hacking/IT Incident,Network Server,Yes,,2024
Signature Healthcare Services LLC,CA,Business Associate,14696,2024-04-27,Hacking/IT Incident,Network Server,Yes,,2024
"Guardant Health, Inc.",CA,Healthcare Provider,9309,2024-04-26,Unauthorized Access/Disclosure,Other,No,,2024
"LivaNova USA, Inc.",TX,Business Associate,180000,2024-04-26,Hacking/IT Incident,Network Server,Yes,,2024
"Forefront Dermatology, S.C. d/b/a Premier Dermatology",IL,Healthcare Provider,2297,2024-04-26,Hacking/IT Incident,Email,No,,2024
OrthoConnecticut PLLC,CT,Healthcare Provider,178742,2024-04-26,Hacking/IT Incident,Network Server,No,,2024
Aspire Health Alliance,MA,Healthcare Provider,17490,2024-04-26,Hacking/IT Incident,Network Server,No,,2024
Justice Resource Institute,MA,Healthcare Provider,23118,2024-04-26,Hacking/IT Incident,Network Server,No,,2024
Empath-Stratum Inc. doing business as  Empath Health,FL,Healthcare Provider,5545,2024-04-25,Hacking/IT Incident,Email,No,,2024
Therapeutic Health Services ,WA,Healthcare Provider,501,2024-04-25,Hacking/IT Incident,Network Server,No,,2024
County of Los Angeles Departments of Health Services and Public Health,CA,Healthcare Provider,252856,2024-04-25,Hacking/IT Incident,Email,No,,2024
Kootenai Health,ID,Healthcare Provider,464088,2024-04-24,Hacking/IT Incident,Network Server,No,,2024
Cape Fear Aesthetics,NC,Healthcare Provider,1165,2024-04-23,Hacking/IT Incident,Network Server,No,,2024
Blackstone Valley Community Health Care,RI,Healthcare Provider,34518,2024-04-22,Hacking/IT Incident,Network Server,No,,2024
The Prudential Insurance Company of America,NJ,Health Plan,36092,2024-04-22,Hacking/IT Incident,Network Server,No,,2024
Bluebonnet Trails Community Services,TX,Healthcare Provider,76165,2024-04-22,Hacking/IT Incident,Email,No,,2024
"South Texas Oncology and Hematology, PLLC",TX,Healthcare Provider,175195,2024-04-19,Hacking/IT Incident,"Desktop Computer, Network Server",No,,2024
"Cumberland Heights Foundation, Inc. ",TN,Healthcare Provider,5078,2024-04-19,Hacking/IT Incident,Email,No,,2024
"Bridgeway Center, Inc.",FL,Healthcare Provider,36353,2024-04-19,Hacking/IT Incident,Network Server,No,,2024
Montgomery County Board of Developmental Disabilities Services,OH,Business Associate,8819,2024-04-18,Hacking/IT Incident,Network Server,Yes,,2024
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators",KY,Healthcare Provider,2282,2024-04-17,Hacking/IT Incident,Email,No,,2024
Orthopedic and Fracture Clinic dba West Idaho Orthopedics and Sports Medicine,ID,Healthcare Provider,5000,2024-04-17,Hacking/IT Incident,Network Server,No,,2024
"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,13400000,2024-04-12,Unauthorized Access/Disclosure,Network Server,No,,2024
Rebound Orthopedics & Neurosurgery,WA,Healthcare Provider,500,2024-04-10,Hacking/IT Incident,Network Server,No,,2024
American Healthcare Systems LLC dba Randolph Health ,NC,Healthcare Provider,899,2024-04-10,Hacking/IT Incident,Email,No,,2024
"Spurwink Services, Inc.",MS,Healthcare Provider,27332,2024-04-09,Hacking/IT Incident,Network Server,No,,2024
"Knowles Smith & Associates, d/b/a Village Family Dental ",NC,Healthcare Provider,240214,2024-04-08,Hacking/IT Incident,Network Server,No,,2024
Group Health Cooperative of South Central Wisconsin,WI,Health Plan,533809,2024-04-08,Hacking/IT Incident,Network Server,No,,2024
"Island Ambulatory Surgery Center, LLC ",NY,Healthcare Provider,7900,2024-04-05,Hacking/IT Incident,Network Server,No,,2024
Sleep Management Institute,OH,Healthcare Provider,500,2024-04-05,Hacking/IT Incident,Network Server,No,,2024
"Gaia Software, LLC",CO,Business Associate,56676,2024-04-05,Hacking/IT Incident,Network Server,Yes,,2024
"BlueCross BlueShield of Tennessee, Inc. ",TN,Business Associate,550,2024-04-05,Unauthorized Access/Disclosure,Other,Yes,,2024
"Jackson Medical Center, LLC",AL,Healthcare Provider,509,2024-04-05,Hacking/IT Incident,Network Server,No,,2024
ZSFG Hospital and Trauma Center,CA,Healthcare Provider,755,2024-04-04,Loss,Paper/Films,No,,2024
"Politzer and Durocher, PLC d/b/a Optometric Physicians of Middle Tennessee",TN,Healthcare Provider,29000,2024-04-04,Hacking/IT Incident,Network Server,No,,2024
UNC Hospitals,NC,Healthcare Provider,3142,2024-04-02,Hacking/IT Incident,Email,No,,2024
Advanced Care Hospital of Montana,MT,Healthcare Provider,2331,2024-04-02,Hacking/IT Incident,Network Server,Yes,,2024
"Continuum Health Alliance, LLC",NJ,Business Associate,1328,2024-04-01,Hacking/IT Incident,Network Server,Yes,,2024
Rutgers Robert Wood Johnson Medical School,NJ,Healthcare Provider,543,2024-04-01,Unauthorized Access/Disclosure,Email,No,,2024
University of Tennessee Health Science Center,TN,Healthcare Provider,19353,2024-04-01,Hacking/IT Incident,Network Server,Yes,,2024
"Otolaryngology Associates, LLC",IN,Healthcare Provider,316802,2024-04-01,Hacking/IT Incident,Network Server,No,,2024
"Northern Virginia Oral, Maxillofacial & Implant Surgery ",VA,Healthcare Provider,4333,2024-03-29,Hacking/IT Incident,Network Server,No,,2024
PRATT MRI LLC,KS,Business Associate,4265,2024-03-29,Loss,Other Portable Electronic Device,Yes,,2024
Delta Health System,MS,Healthcare Provider,216532,2024-03-29,Hacking/IT Incident,Network Server,No,,2024
South Texas Rehabilitation Hospital,TX,Healthcare Provider,4130,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Rehabilitation Hospital of Northern Indiana,IN,Healthcare Provider,1643,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Rehabilitation Hospital of Northern Arizona ,AZ,Healthcare Provider,3287,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Mesquite Rehabilitation Institute ,TX,Healthcare Provider,3317,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Northern Utah Rehabilitation Hospital,UT,Healthcare Provider,3477,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Northern Idaho Advanced Care Hospital,ID,Healthcare Provider,5606,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
County of Los Angeles Department of Health Services - Olive View-UCLA Medical Center,CA,Healthcare Provider,3716,2024-03-29,Theft,Paper/Films,No,,2024
Mesquite Specialty Hospital ,TX,Healthcare Provider,1244,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Laredo Specialty Hospital,TX,Healthcare Provider,1242,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Laredo Rehabilitation Hospital,TX,Healthcare Provider,1785,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Elkhorn Valley Rehabilitation Hospital,WY,Healthcare Provider,3636,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Spartanburg Rehabilitation Institute,SC,Healthcare Provider,4506,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Weslaco Regional Rehabilitation Hospital,TX,Healthcare Provider,2781,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Utah Valley Rehabilitation Hospital,UT,Healthcare Provider,1642,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Trustpoint Rehabilitation Hospital of Lubbock,TX,Healthcare Provider,9014,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Denver Regional Rehabilitation Hospital,CO,Healthcare Provider,848,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Summa Rehabilitation Hospital,OH,Healthcare Provider,2986,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Bloomington Regional Rehabilitation Hospital,IN,Healthcare Provider,1191,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Rehabilitation Hospital of the Northwest,ID,Healthcare Provider,3821,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Rehabilitation Hospital of Southern New Mexico,NM,Healthcare Provider,5466,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Bakersfield Rehabilitation Hospital,CA,Healthcare Provider,852,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Rehabilitation Hospital of Southern California,CA,Healthcare Provider,925,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Rehabilitation Hospital of Northwest Ohio,OH,Healthcare Provider,3671,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Northern Colorado Rehabilitation Hospital,CO,Healthcare Provider,885,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Northern Colorado Long Term Acute Hospital,CO,Healthcare Provider,4335,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
New Braunfels Regional Rehabilitation Hospital,TX,Healthcare Provider,5384,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Mountain Valley Regional Rehabilitation Hospital,AZ,Healthcare Provider,5963,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Advanced Care Hospital of Southern New Mexico,NM,Healthcare Provider,1162,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Midlands Regional Rehabilitation Hospital,SC,Healthcare Provider,2018,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Lafayette Regional Rehabilitation Hospital,IN,Healthcare Provider,2861,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Greenwood Regional Rehabilitation Hospital,SC,Healthcare Provider,5823,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Corpus Christi Rehabilitation Hospital,TX,Healthcare Provider,3581,2024-03-29,Hacking/IT Incident,Network Server,Yes,,2024
Highmark,PA,Health Plan,5356,2024-03-29,Unauthorized Access/Disclosure,Paper/Films,No,,2024
"Florida Pediatric Associates, LLC ",FL,Healthcare Provider,1104,2024-03-28,Hacking/IT Incident,Network Server,Yes,,2024
"Strive Holdco, LLC",TX,Healthcare Provider,51477,2024-03-28,Unauthorized Access/Disclosure,Network Server,No,,2024
Risas Dental & Braces,PA,Healthcare Provider,618189,2024-03-28,Hacking/IT Incident,Network Server,No,,2024
UT Southwestern Medical Center,TX,Healthcare Provider,1956,2024-03-27,Unauthorized Access/Disclosure,Network Server,No,,2024
Washington County Department of Human Services,PA,Healthcare Provider,13583,2024-03-26,Hacking/IT Incident,Network Server,No,,2024
"Baytown Medical Center, L.P.",TX,Healthcare Provider,1500,2024-03-25,Unauthorized Access/Disclosure,Network Server,No,,2024
Pembina County Memorial Hospital,ND,Healthcare Provider,23811,2024-03-25,Hacking/IT Incident,Network Server,No,,2024
Family Health Center ,MI,Healthcare Provider,33240,2024-03-24,Hacking/IT Incident,Network Server,No,,2024
"Mary H. Makhlouf, DMD, MS, PA",NC,Healthcare Provider,1797,2024-03-22,Hacking/IT Incident,Network Server,No,,2024
"Ethos, also known as Southwest Boston Senior Services",MA,Business Associate,14503,2024-03-22,Hacking/IT Incident,Network Server,Yes,,2024
Emergency Medical Services Authority,OK,Healthcare Provider,611743,2024-03-22,Hacking/IT Incident,Network Server,No,,2024
"Lakewood Medical Center, PC",CO,Healthcare Provider,2500,2024-03-21,Hacking/IT Incident,Network Server,No,,2024
M&D Capital Premier Billing LLC,NY,Business Associate,284326,2024-03-21,Hacking/IT Incident,Network Server,Yes,,2024
City of Conneaut,OH,Healthcare Provider,771,2024-03-21,Hacking/IT Incident,Email,No,,2024
Battle Mountain General Hospital,NV,Healthcare Provider,3000,2024-03-21,Hacking/IT Incident,"Desktop Computer, Network Server",No,,2024
"Ezras Choilim Health Center, Inc.",NY,Healthcare Provider,59861,2024-03-19,Hacking/IT Incident,Network Server,No,,2024
Valley Oaks Health ,IN,Healthcare Provider,50034,2024-03-18,Hacking/IT Incident,Network Server,No,,2024
Bonney Forge Corporation,PA,Health Plan,672,2024-03-18,Hacking/IT Incident,Network Server,No,,2024
Andor Labs,NC,Healthcare Provider,500,2024-03-18,Theft,Laptop,No,,2024
"Sycamore Rehabilitation Services, Inc.",IN,Healthcare Provider,3414,2024-03-18,Hacking/IT Incident,Network Server,No,,2024
Weirton Medical Center,WV,Healthcare Provider,26793,2024-03-18,Hacking/IT Incident,Network Server,No,,2024
Aveanna Healthcare,GA,Healthcare Provider,65482,2024-03-15,Hacking/IT Incident,Email,No,,2024
Cornerstone Healthcare Group Management Services LLC,KY,Business Associate,500,2024-03-14,Hacking/IT Incident,Network Server,Yes,,2024
Bronson Healthcare Group,MI,Healthcare Provider,1597,2024-03-13,Unauthorized Access/Disclosure,Electronic Medical Record,No,,2024
Plymouth Tube Company Employee Benefit Plan,IL,Health Plan,2652,2024-03-13,Hacking/IT Incident,Network Server,No,,2024
A5 PHARMACY INC.,NY,Healthcare Provider,3000,2024-03-13,Hacking/IT Incident,Network Server,No,,2024
Lindsay Municipal Hospital,OK,Healthcare Provider,500,2024-03-13,Hacking/IT Incident,Email,No,,2024
Newton Centre Dental,MA,Healthcare Provider,2547,2024-03-12,Unauthorized Access/Disclosure,Email,No,,2024
CCM Health,MN,Healthcare Provider,84329,2024-03-12,Hacking/IT Incident,Network Server,No,,2024
R1 RCM Inc.,IL,Business Associate,16121,2024-03-11,Hacking/IT Incident,Network Server,Yes,,2024
Texas Health and Human Services ,TX,Health Plan,3392,2024-03-11,Unauthorized Access/Disclosure,Email,No,,2024
